@relation TechnoGym-weka.filters.unsupervised.attribute.Remove-R10-11

@attribute started_startofweekdate date dd/MM/yyyy
@attribute id_user numeric
@attribute id_facility numeric
@attribute count_session numeric
@attribute count_step numeric
@attribute count_physicalactivity numeric
@attribute sum_assignedmove numeric
@attribute sum_performedduration numeric
@attribute sum_performedweight numeric
@attribute avg_session_length numeric
@attribute pa_compliance numeric
@attribute muscle_compliance numeric
@attribute execise_quality_compliance numeric
@attribute month numeric
@attribute user_sex {M,F}
@attribute user_age numeric
@attribute facility_nation {IT}
@attribute facility_hasunity {true,false}
@attribute facility_hasartis {true,false}
@attribute WeeksSinceLastSession numeric
@attribute WeeksToNextSession numeric
@attribute weeks_since_membership numeric
@attribute id_membership numeric
@attribute cum_count_session numeric
@attribute weeks_to_drop numeric
@attribute count_session_rolling_sum2 numeric
@attribute count_session_rolling_sum8 numeric
@attribute rolling_frequency2 numeric
@attribute pa_compliance_rolling_avg2 numeric
@attribute pa_compliance_rolling_avg8 numeric
@attribute muscle_compliance_rolling_avg2 numeric
@attribute muscle_compliance_rolling_avg8 numeric
@attribute DropFlag {FALSE,TRUE}

@data
15/12/2014,293,240,3,68,26,2112,10363,541.25,5240,0.790843,0.824577,0.704656,12,M,35,IT,true,true,1,1,4,36025,13,4,6,13,3,0.837057,0.787255,0.860828,0.809946,FALSE
22/12/2014,293,240,2,45,17,1321,6212,430.75,4640,0.788928,0.814226,0.733207,12,M,35,IT,true,true,1,1,5,36025,15,4,5,15,2.5,0.789885,0.78759,0.819402,0.810802,FALSE
29/12/2014,293,240,1,22,8,530,2286,256.25,5250,0.795728,0.78838,0.797399,12,M,35,IT,true,true,1,1,6,36025,16,4,3,16,1.5,0.792328,0.788946,0.801303,0.807065,FALSE
05/01/2015,293,240,2,52,16,1163,5286,557,4586,0.869161,0.881589,0.603915,1,M,35,IT,true,true,1,1,7,36025,18,4,3,18,1.5,0.832445,0.800405,0.834984,0.817711,FALSE
12/01/2015,293,240,3,78,24,1781,8478,774,4897,0.825705,0.829156,0.605296,1,M,35,IT,true,true,1,1,8,36025,21,4,5,21,2.5,0.847433,0.803568,0.855372,0.819142,FALSE
19/01/2015,293,240,2,52,16,1163,5370,585,4888,0.850502,0.858318,0.604566,1,M,35,IT,true,true,1,1,9,36025,23,4,5,20,2.5,0.838103,0.800254,0.843737,0.815211,FALSE
26/01/2015,293,240,3,78,24,1708,8094,1075,4143,0.827246,0.838304,0.60368,1,M,35,IT,true,true,1,1,10,36025,26,4,5,19,2.5,0.838874,0.828923,0.848311,0.841454,FALSE
02/02/2015,293,240,1,26,8,545,2526,460,6381,0.846319,0.850183,0.598697,2,M,35,IT,true,true,1,2,11,36025,27,4,4,17,2,0.836783,0.824304,0.844244,0.835592,FALSE
09/02/2015,293,240,0,0,0,?,0,0,0,0,0,0,2,M,35,IT,true,true,?,?,12,36025,27,4,1,14,0.5,0.423159,0.725449,0.425091,0.73252,FALSE
16/02/2015,293,240,3,78,24,1781,8598,1007.5,4331,0.814352,0.816642,0.578354,2,M,35,IT,true,true,2,1,13,36025,30,4,3,15,1.5,0.407176,0.728627,0.408321,0.732821,FALSE
23/02/2015,293,240,3,72,28,2320,9732,722.5,5124,0.866134,0.827299,0.816905,2,M,35,IT,true,true,1,1,14,36025,33,4,6,17,3,0.840243,0.737427,0.82197,0.737686,FALSE
02/03/2015,293,240,4,94,37,2985,13170,1019.5,4170,0.834466,0.779963,0.77775,3,M,35,IT,true,true,1,1,15,36025,37,4,7,19,3.5,0.8503,0.73309,0.803631,0.724983,FALSE
09/03/2015,293,240,3,72,28,2320,9144,835,5176,0.848436,0.806991,0.812181,3,M,35,IT,true,true,1,1,16,36025,40,4,7,19,3.5,0.841451,0.735932,0.793477,0.722212,FALSE
16/03/2015,293,240,3,72,28,2320,9144,833.5,5317,0.84523,0.806886,0.808768,3,M,35,IT,true,true,1,1,17,36025,43,4,6,20,3,0.846833,0.735273,0.806939,0.715783,FALSE
23/03/2015,293,240,1,27,10,984,3270,295.5,5987,0.879578,0.891161,0.865607,3,M,35,IT,true,true,1,1,18,36025,44,4,4,18,2,0.862404,0.741814,0.849024,0.722391,FALSE
30/03/2015,293,240,4,95,37,2991,12996,1222.5,4330,0.835108,0.793749,0.793467,3,M,35,IT,true,true,1,1,19,36025,48,4,5,21,2.5,0.857343,0.740413,0.842455,0.715336,FALSE
06/04/2015,293,240,2,49,19,1649,6468,600,4895,0.817853,0.787192,0.794657,4,M,35,IT,true,true,1,1,20,36025,50,4,6,23,3,0.826481,0.842645,0.790471,0.813735,FALSE
13/04/2015,293,240,2,45,18,1336,6462,605.5,4502,0.809527,0.746663,0.763143,4,M,35,IT,true,true,1,1,21,36025,52,4,4,22,2,0.81369,0.842042,0.766927,0.804988,FALSE
20/04/2015,293,240,1,27,10,984,3803,298,3374,0.874912,0.884691,0.858731,4,M,35,IT,true,true,1,1,22,36025,53,4,3,20,1.5,0.84222,0.843139,0.815677,0.812162,FALSE
27/04/2015,293,240,2,45,18,1336,6462,572,4441,0.819154,0.753845,0.769365,4,M,35,IT,true,true,1,1,23,36025,55,4,3,18,1.5,0.847033,0.841225,0.819268,0.808897,FALSE
04/05/2015,293,240,2,52,18,1829,7251,588,4291,0.878611,0.850026,0.824188,5,M,35,IT,true,true,1,1,24,36025,57,4,4,17,2,0.848883,0.844997,0.801935,0.814277,FALSE
11/05/2015,293,240,2,49,14,1425,4879,622,4420,0.965497,0.970627,0.936067,5,M,35,IT,true,true,1,1,25,36025,59,4,4,16,2,0.922054,0.86003,0.910326,0.834744,FALSE
18/05/2015,293,240,2,56,17,2084,6349,648,5396,0.935829,0.940591,0.92131,5,M,35,IT,true,true,1,1,26,36025,61,4,4,17,2,0.950663,0.867062,0.955609,0.840923,FALSE
25/05/2015,293,240,3,87,25,2583,7665,793,4133,0.719838,0.701086,0.702825,5,M,35,IT,true,true,1,1,27,36025,64,4,5,16,2.5,0.827833,0.852653,0.820839,0.82934,FALSE
01/06/2015,293,240,5,136,40,4240,12780,1587,3992,0.78509,0.780572,0.755375,6,M,35,IT,true,true,1,1,28,36025,69,4,8,19,4,0.752464,0.848557,0.740829,0.828513,FALSE
08/06/2015,293,240,5,160,45,4008,15882,2176.5,4044,0.65888,0.703916,0.564643,6,M,35,IT,true,true,1,1,29,36025,74,4,10,22,5,0.721985,0.829726,0.742244,0.823169,FALSE
15/06/2015,293,240,3,94,27,2583,9249,1255.5,4914,0.683179,0.720301,0.61923,6,M,35,IT,true,true,1,1,30,36025,77,4,8,24,4,0.67103,0.80576,0.712109,0.80262,FALSE
22/06/2015,293,240,5,160,46,4667,16512,2130.5,5556,0.670916,0.690284,0.623949,6,M,35,IT,true,true,1,1,31,36025,82,4,8,27,4,0.677048,0.78723,0.705293,0.794675,FALSE
29/06/2015,293,240,4,113,32,3082,10791,1667,4962,0.741935,0.763011,0.689708,6,M,35,IT,true,true,1,1,32,36025,86,4,9,29,4.5,0.706425,0.770145,0.726648,0.783798,FALSE
06/07/2015,293,240,3,84,25,2288,7752,1126.5,5018,0.868,0.833338,0.958909,7,M,35,IT,true,true,1,1,33,36025,89,4,7,30,3.5,0.804967,0.757958,0.798175,0.766637,FALSE
13/07/2015,293,240,4,102,35,2705,9877,1287.5,4795,0.965746,0.970538,0.958278,7,M,35,IT,true,true,1,1,34,36025,93,4,7,32,3.5,0.916873,0.761698,0.901938,0.770381,FALSE
20/07/2015,293,240,5,126,43,3355,12066,1879.5,4318,0.962409,0.953869,0.944858,7,M,35,IT,true,true,1,1,35,36025,98,4,9,34,4.5,0.964077,0.792019,0.962203,0.801979,FALSE
27/07/2015,293,240,3,76,26,2092,7463,1118.5,3664,0.985934,0.986845,0.971507,7,M,35,IT,true,true,1,1,36,36025,101,4,8,32,4,0.974171,0.817125,0.970357,0.827763,FALSE
03/08/2015,293,240,4,104,35,2705,9932,1584,4269,0.941623,0.909948,0.938817,8,M,35,IT,true,true,1,2,37,36025,105,4,7,31,3.5,0.963778,0.852468,0.948396,0.853517,FALSE
